id,description
1,emerald hexagons tessellating on a charcoal slate
2,sunburst yellow circles scattered on a navy grid
3,crimson zigzags intersecting with sapphire diamonds
4,moss-green vertical stripes alternating with matte gold
5,frosted glass rectangles layered over copper wire mesh
6,indigo chevrons marching across a pearl-white field
7,terra-cotta triangles nested in a slate-blue ring
8,neon pink dots pulsating on a jet-black disc
9,brushed steel arcs interlaced with olive-green squares
10,luminous aqua waves flowing through a graphite grid
