id,svg,description,score
"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""circleGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#ff3333""/><stop offset=""100%"" stop-color=""#cc0000""/></linearGradient><linearGradient id=""squareGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#3333ff""/><stop offset=""100%"" stop-color=""#0000cc""/></linearGradient></defs><circle cx=""128"" cy=""128"" r=""100"" fill=""url(#circleGradient)"" stroke=""#990000"" stroke-width=""4""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""url(#squareGradient)"" stroke=""#000099"" stroke-width=""3"" rx=""5""/></svg>",moss-green vertical stripes alternating with matte gold,0.33263232265167564
"<svg viewBox=""0 0 400 300"" width=""400"" height=""300""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FF7F50""/><stop offset=""50%"" stop-color=""#FF4500""/><stop offset=""100%"" stop-color=""#8B0000""/></linearGradient><linearGradient id=""oceanGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#1E90FF""/><stop offset=""100%"" stop-color=""#00008B""/></linearGradient></defs><rect x=""0"" y=""0"" width=""400"" height=""200"" fill=""url(#skyGradient)""/><circle cx=""200"" cy=""150"" r=""40"" fill=""#FFD700""/><rect x=""0"" y=""200"" width=""400"" height=""100"" fill=""url(#oceanGradient)""/><g transform=""translate(150, 180)""><polygon points=""20,20 10,40 30,40"" fill=""#000000""/><polygon points=""15,40 25,40 25,50 15,50"" fill=""#000000""/><polygon points=""5,50 35,50 25,60 15,60"" fill=""#000000""/></g><line x1=""0"" y1=""200"" x2=""400"" y2=""200"" stroke=""#000000"" stroke-width=""1"" opacity=""0.3""/><ellipse cx=""200"" cy=""200"" rx=""50"" ry=""10"" fill=""#FFD700"" opacity=""0.5""/></svg>",brushed steel arcs interlaced with olive-green squares,0.36283403870747577
"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""100"" fill=""#ff3333"" stroke=""#cc0000"" stroke-width=""4""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""#3333ff"" stroke=""#0000cc"" stroke-width=""4""/></svg>",sunburst yellow circles scattered on a navy grid,0.36454024421135506
"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""100"" fill=""red"" stroke=""none""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""blue"" stroke=""none""/></svg>",emerald hexagons tessellating on a charcoal slate,0.41534842791468984
"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""circleGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#ff0000""/><stop offset=""100%"" stop-color=""#cc0000""/></linearGradient><linearGradient id=""squareGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#0000ff""/><stop offset=""100%"" stop-color=""#0000cc""/></linearGradient></defs><circle cx=""128"" cy=""128"" r=""100"" fill=""url(#circleGradient)"" stroke=""#990000"" stroke-width=""4""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""url(#squareGradient)"" stroke=""#000099"" stroke-width=""4""/></svg>",frosted glass rectangles layered over copper wire mesh,0.43749343443623134
"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""redGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#ff0000""/><stop offset=""100%"" stop-color=""#cc0000""/></linearGradient><linearGradient id=""blueGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#0000ff""/><stop offset=""100%"" stop-color=""#0000cc""/></linearGradient></defs><circle cx=""128"" cy=""128"" r=""100"" fill=""url(#redGradient)"" stroke=""#990000"" stroke-width=""4""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""url(#blueGradient)"" stroke=""#000099"" stroke-width=""2""/></svg>",crimson zigzags intersecting with sapphire diamonds,0.44635637219531127
"<svg viewBox=""0 0 800 400"" width=""800"" height=""400""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#ff7e5f""/><stop offset=""50%"" stop-color=""#feb47b""/><stop offset=""100%"" stop-color=""#6a85b6""/></linearGradient><linearGradient id=""mountainGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#4b6cb7""/><stop offset=""100%"" stop-color=""#182848""/></linearGradient><radialGradient id=""sunGradient"" cx=""0.7"" cy=""0.3"" r=""0.6""><stop offset=""0%"" stop-color=""#ffdb58""/><stop offset=""100%"" stop-color=""#ff7e5f"" stop-opacity=""0.8""/></radialGradient></defs><rect x=""0"" y=""0"" width=""800"" height=""400"" fill=""url(#skyGradient)""/><circle cx=""700"" cy=""100"" r=""60"" fill=""url(#sunGradient)"" opacity=""0.9""/><polygon points=""0,400 200,150 400,300 600,100 800,400"" fill=""url(#mountainGradient)""/><ellipse cx=""400"" cy=""400"" rx=""800"" ry=""80"" fill=""#6a85b6"" opacity=""0.6""/><polygon points=""0,400 200,250 400,400 600,300 800,400"" fill=""#182848"" opacity=""0.3""/><ellipse cx=""700"" cy=""400"" rx=""40"" ry=""15"" fill=""#ffdb58"" opacity=""0.4""/></svg>",neon pink dots pulsating on a jet-black disc,0.48017798381055077
"<svg viewBox=""0 0 200 200"" width=""200"" height=""200""><defs><linearGradient id=""grad1"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#4a6fa5""/><stop offset=""100%"" stop-color=""#166088""/></linearGradient><radialGradient id=""grad2"" cx=""40%"" cy=""40%"" r=""50%"" fx=""40%"" fy=""40%""><stop offset=""0%"" stop-color=""#ff7e5f""/><stop offset=""100%"" stop-color=""#feb47b""/></radialGradient></defs><rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""url(#grad1)""/><g transform=""translate(100, 100)""><circle cx=""0"" cy=""0"" r=""50"" fill=""url(#grad2)"" stroke=""#333"" stroke-width=""2""/><polygon points=""-30,-30 30,-30 0,30"" fill=""#fff"" opacity=""0.8"" transform=""rotate(30)""/><ellipse cx=""0"" cy=""-15"" rx=""10"" ry=""5"" fill=""#333"" opacity=""0.6""/><line x1=""-40"" y1=""40"" x2=""40"" y2=""-40"" stroke=""#fff"" stroke-width=""1.5"" opacity=""0.7""/><rect x=""-15"" y=""-15"" width=""30"" height=""30"" fill=""#fff"" opacity=""0.5"" transform=""rotate(45)""/></g><polyline points=""20,20 50,50 80,30 120,70 150,40 180,80"" stroke=""#fff"" stroke-width=""2"" fill=""none"" opacity=""0.6""/></svg>",terra-cotta triangles nested in a slate-blue ring,0.48403020981443595
"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 400 300"" width=""400"" height=""300""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FF6B6B""/><stop offset=""50%"" stop-color=""#FF8E53""/><stop offset=""100%"" stop-color=""#4B86B4""/></linearGradient><linearGradient id=""oceanGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#4B86B4""/><stop offset=""100%"" stop-color=""#2A4D6E""/></linearGradient></defs><rect x=""0"" y=""0"" width=""400"" height=""200"" fill=""url(#skyGradient)""/><circle cx=""200"" cy=""150"" r=""40"" fill=""#FFD166""/><rect x=""0"" y=""200"" width=""400"" height=""100"" fill=""url(#oceanGradient)""/><g transform=""translate(150, 180)""><polygon points=""0,20 100,20 80,40 20,40"" fill=""#1A1A2E""/><rect x=""48"" y=""0"" width=""4"" height=""40"" fill=""#1A1A2E""/><polygon points=""50,0 50,30 90,30"" fill=""#16213E""/></g><line x1=""0"" y1=""200"" x2=""400"" y2=""200"" stroke=""#2A4D6E"" stroke-width=""2""/></svg>",luminous aqua waves flowing through a graphite grid,0.5284233532052146
"<svg viewBox=""0 0 400 300"" width=""400"" height=""300""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#ff7e5f""/><stop offset=""100%"" stop-color=""#feb47b""/></linearGradient><linearGradient id=""mountainGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#6a3093""/><stop offset=""100%"" stop-color=""#a044ff""/></linearGradient></defs><rect width=""400"" height=""300"" fill=""url(#skyGradient)""/><circle cx=""300"" cy=""80"" r=""40"" fill=""#ffde59""/><polygon points=""0,300 100,150 200,220 300,100 400,300"" fill=""url(#mountainGradient)"" opacity=""0.9""/><ellipse cx=""200"" cy=""320"" rx=""250"" ry=""50"" fill=""#4a6fa5"" opacity=""0.6""/><polygon points=""100,300 120,280 180,290 220,270 300,290 320,300"" fill=""#ffde59"" opacity=""0.3""/></svg>",indigo chevrons marching across a pearl-white field,0.5346713013878651
